loss,mse_f1,mse_f2,mse_f3,mse_u_bc,mse_v_bc,mse_p_bc,a,b,c,d,e,f
0.09337574988603592,0.00028542851214297116,3.9700211345916614e-05,5.3973875765223056e-05,0.0001537022035336122,9.704693184175994e-06,1.695973696769215e-05,0.10591457039117813,0.05671048164367676,0.11264271289110184,0.1526646465063095,0.12150100618600845,0.09668215364217758
0.09334945678710938,0.00028532822034321725,3.9696795283816755e-05,5.395610787672922e-05,0.0001536510098958388,9.701085218694061e-06,1.69582745002117e-05,0.10589668154716492,0.0566960908472538,0.11262453347444534,0.15263475477695465,0.12147843092679977,0.09666173905134201
0.09332317113876343,0.00028522798675112426,3.9692567952442914e-05,5.3937561460770667e-05,0.0001536013587610796,9.697608220449183e-06,1.6956813851720653e-05,0.1058787927031517,0.05668170377612114,0.11260634660720825,0.1526048630475998,0.1214558482170105,0.09664132446050644
0.09329693019390106,0.0002851344470400363,3.968907913076691e-05,5.392074308474548e-05,0.00015355006325989962,9.693985703052022e-06,1.695524224487599e-05,0.10586091130971909,0.05666732043027878,0.11258815228939056,0.15257497131824493,0.12143325805664062,0.09662090986967087
0.09327056258916855,0.0002850328164640814,3.9685150113655254e-05,5.390342994360253e-05,0.0001534999901195988,9.69040411291644e-06,1.695421087788418e-05,0.10584302991628647,0.056652940809726715,0.11256995052099228,0.15254506468772888,0.12141066044569016,0.0966004952788353
0.09324418753385544,0.00028493834543041885,3.9681948692305014e-05,5.388440331444144e-05,0.0001534459152026102,9.68670519796433e-06,1.6952999430941418e-05,0.10582515597343445,0.05663856491446495,0.112551748752594,0.15251515805721283,0.12138806283473969,0.09658008068799973
0.09321793913841248,0.0002848372678272426,3.9678117900621146e-05,5.386701741372235e-05,0.00015339604578912258,9.683056305220816e-06,1.695182072580792e-05,0.10580728203058243,0.056624192744493484,0.11253353953361511,0.15248525142669678,0.12136545777320862,0.09655965864658356
0.09319137781858444,0.00028473642305471003,3.96742980228737e-05,5.384904216043651e-05,0.00015334325144067407,9.679223694547545e-06,1.6950329154497012e-05,0.105789415538311,0.056609828025102615,0.11251532286405563,0.15245534479618073,0.12134284526109695,0.09653923660516739
0.09316506236791611,0.0002846417191904038,3.9670812839176506e-05,5.3831361583434045e-05,0.00015329153393395245,9.675611181592103e-06,1.6949177734204568e-05,0.10577154904603958,0.056595467031002045,0.11249709874391556,0.15242542326450348,0.1213202252984047,0.09651881456375122
0.09313885867595673,0.0002845417184289545,3.966629083151929e-05,5.381349183153361e-05,0.00015324048581533134,9.67209052760154e-06,1.6947775293374434e-05,0.10575369000434875,0.05658110976219177,0.11247886717319489,0.15239550173282623,0.12129759788513184,0.09649839252233505
0.09311221539974213,0.0002844446571543813,3.9662809285800904e-05,5.379549111239612e-05,0.0001531885063741356,9.668343409430236e-06,1.694668571872171e-05,0.10573583096265793,0.0565667562186718,0.11246063560247421,0.152365580201149,0.12127497047185898,0.09647797048091888
0.09308608621358871,0.0002843459660653025,3.965940777561627e-05,5.3778334404341877e-05,0.0001531369489384815,9.66488278208999e-06,1.6944863091339357e-05,0.1057179793715477,0.05655240640044212,0.11244239658117294,0.15233564376831055,0.12125233560800552,0.09645754098892212
0.09305975586175919,0.00028424980700947344,3.9655213186051697e-05,5.375988985178992e-05,0.00015308448928408325,9.661137482908089e-06,1.6944375602179207e-05,0.10570012778043747,0.05653806030750275,0.11242415010929108,0.1523057073354721,0.12122969329357147,0.09643711149692535
0.09303350746631622,0.00028414814732968807,3.965148061979562e-05,5.3742773161502555e-05,0.0001530346053186804,9.657570444687735e-06,1.6942574802669697e-05,0.10568228363990784,0.05652372166514397,0.11240589618682861,0.15227577090263367,0.12120704352855682,0.09641668200492859
0.09300718456506729,0.0002840518718585372,3.964745337725617e-05,5.3725249017588794e-05,0.00015298454673029482,9.653834240452852e-06,1.6940959540079348e-05,0.1056644394993782,0.056509386748075485,0.11238764226436615,0.15224583446979523,0.12118439376354218,0.09639625251293182
0.09298090636730194,0.00028395335539244115,3.964412826462649e-05,5.370664439396933e-05,0.00015293281467165798,9.650352694734465e-06,1.694040656730067e-05,0.10564660280942917,0.0564950555562973,0.11236938089132309,0.1522158831357956,0.12116173654794693,0.09637582302093506
0.09295464307069778,0.0002838525688275695,3.963990093325265e-05,5.3689971537096426e-05,0.0001528829161543399,9.646662874729373e-06,1.6938651242526248e-05,0.10562876611948013,0.05648072808980942,0.11235111206769943,0.15218593180179596,0.12113907188177109,0.0963553935289383
0.09292816370725632,0.00028375323745422065,3.96361829189118e-05,5.367089033825323e-05,0.00015283127140719444,9.643069461162668e-06,1.6937701730057597e-05,0.1056109368801117,0.05646640434861183,0.11233283579349518,0.15215598046779633,0.12111639976501465,0.09633495658636093
0.0929020345211029,0.00028365361504256725,3.963331982959062e-05,5.3653635404771194e-05,0.00015278023784048855,9.639524250815157e-06,1.693586091278121e-05,0.10559310764074326,0.05645208805799484,0.11231455206871033,0.1521260291337967,0.12109372764825821,0.09631451964378357
